   h    k    l      d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   1   12   -1   2.318512   -15.028881    -0.084034      15.0291   38.84090    0.11705    4
   0   14    0   2.317857   -26.097267    -0.037819      26.0973   38.85231    0.17635    2
   0    2    4   2.314749   -20.392703    -0.019491      20.3927   38.90659    0.21470    4
   2    3   -1   2.307981   -13.996756    -0.070883      13.9969   39.02529    0.10047    4
   2    2    0   2.306877    29.181887     0.136405      29.1822   39.04473    0.43622    4
   1    4    3   2.302650    21.649003     0.034527       21.649   39.11931    0.23906    4
   1   11   -2   2.292402     8.251427     0.030021      8.25148   39.30137    0.03437    4
   0    3    4   2.285853     2.032386     0.027829      2.03258   39.41862    0.00207    4
   2    3    0   2.278271     4.797859     0.020385       4.7979   39.55527    0.01146    4
   2    4   -1   2.268172    -8.725806    -0.066427      8.72606   39.73879    0.03751    4
   1    0   -4   2.257888    13.021712     0.061440      13.0219   39.92747    0.04133    2
   1    1   -4   2.252442    16.654179     0.099304      16.6545   40.02813    0.13444    4
   2    0   -2   2.252400    -2.479694    -0.006078       2.4797   40.02890    0.00149    2
   1    5    3   2.252184   -14.951344    -0.029671      14.9514   40.03291    0.10832    4
   0   14    1   2.249825   -41.912642    -0.102027      41.9128   40.07669    0.84918    4
   0   10    3   2.248402    -7.143869    -0.061715      7.14414   40.10314    0.02464    4
   0    4    4   2.247159    20.553793     0.079218      20.5539   40.12627    0.20366    4
   2    1   -2   2.246994    -4.725275    -0.087869      4.72609   40.12935    0.01077    4
   2    4    0   2.239954     0.938325     0.045342      0.93942   40.26091    0.00042    4
   1    2   -4   2.236337    16.443258     0.033538      16.4433   40.32885    0.12889    4
   2    2   -2   2.231005    -3.973062     0.024175      3.97314   40.42945    0.00748    4
   1    9   -3   2.229041    18.644327     0.131940      18.6448   40.46663    0.16446    4
   1   12    1   2.222855   -19.384704    -0.102419       19.385   40.58419    0.17663    4
   2    5   -1   2.219892   -16.271418    -0.072213      16.2716   40.64076    0.12407    4
   1   10    2   2.219162    62.135037     0.277379      62.1357   40.65471    1.80776    4
   1    3   -4   2.210247    -3.057354     0.037545      3.05758   40.82597    0.00434    4
   2    3   -2   2.205099   -23.358547    -0.135240      23.3589   40.92555    0.25173    4
   0   13    2   2.202181   -19.628532    -0.090980      19.6287   40.98221    0.17720    4
   1   13    0   2.200480    -5.180410    -0.021786      5.18046   41.01532    0.01232    4
   0    5    4   2.200181    13.757070     0.131470      13.7577   41.02116    0.08687    4
   1    6    3   2.194786    45.353456     0.079638      45.3535   41.12653    0.93864    4
   2    5    0   2.193417   -15.659747    -0.051454      15.6598   41.15337    0.11174    4
   1   13   -1   2.183370     1.807645    -0.016738      1.80772   41.35140    0.00147    4
   1    4   -4   2.175210     2.476505    -0.013313      2.47654   41.51367    0.00274    4
   1   12   -2   2.171178    -3.286480     0.034852      3.28666   41.59432    0.00481    4
   2    4   -2   2.170302    17.376981     0.071911      17.3771   41.61190    0.13423    4
   2    1    1   2.167549    17.416498     0.105210      17.4168   41.66720    0.13444    4
   2    6   -1   2.164869    -5.495857    -0.042000      5.49602   41.72120    0.01335    4
   2    2    1   2.153187    -0.989852    -0.020830     0.990071   41.95821    0.00043    4
   0    6    4   2.146575   -10.970630    -0.096732      10.9711   42.09357    0.05214    4
   0   11    3   2.142970    -7.406825    -0.058109      7.40705   42.16776    0.02367    4
