   h    k    l      d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   4    4    6   0.857717     0.929622     0.016306     0.929765  127.99657    0.00011    4
   1   34    4   0.857686     3.552029     0.024303      3.55211  128.00517    0.00165    4
   1   35   -4   0.857653    13.504390     0.104355      13.5048  128.01427    0.02389    4
   3   15    7   0.857621     0.459711     0.010746     0.459837  128.02296    0.00003    4
   2   34    2   0.857384     0.845133     0.020268     0.845376  128.08793    0.00009    4
   2   35   -2   0.857351    -1.083085    -0.013089      1.08316  128.09704    0.00015    4
   2   32   -5   0.857344     0.720061     0.012449     0.720169  128.09905    0.00007    4
   2   23    7   0.857207     8.213033     0.056638      8.21323  128.13667    0.00886    4
   4   23   -5   0.857194    -2.395866    -0.030027      2.39605  128.14012    0.00075    4
   1   30    6   0.857123     2.398617     0.006627      2.39863  128.15970    0.00076    4
   3   16   -9   0.856808     3.245418     0.029383      3.24555  128.24649    0.00139    4
   1    5  -11   0.856702   -11.621243    -0.100376      11.6217  128.27570    0.01779    4
   3   31    1   0.856599     2.308263     0.007472      2.30828  128.30419    0.00070    4
   5    7   -6   0.856460     1.071065     0.021231      1.07128  128.34260    0.00015    4
   5   13    1   0.856389    -0.956098     0.003628     0.956105  128.36221    0.00012    4
   3   30    2   0.856321    -1.830944    -0.026171      1.83113  128.38106    0.00044    4
   5   16   -1   0.856124    -1.879103    -0.004811      1.87911  128.43553    0.00047    4
   5   15    0   0.856117    -1.963391    -0.028141      1.96359  128.43741    0.00051    4
   1   10   10   0.855765     3.114010     0.029802      3.11415  128.53505    0.00128    4
   3    5    8   0.855732     1.399188    -0.013297      1.39925  128.54427    0.00026    4
   1   37    1   0.855694    -4.275329    -0.034988      4.27547  128.55491    0.00242    4
   4   13   -8   0.855420   -10.764864    -0.065094      10.7651  128.63106    0.01539    4
   4    5    6   0.855033    -1.043668    -0.009391      1.04371  128.73895    0.00014    4
   3   21   -8   0.854940     6.698606     0.039601      6.69872  128.76498    0.00598    4
   4    1   -9   0.854792     7.448776     0.021122      7.44881  128.80638    0.00740    4
   5   12   -5   0.854766     2.790519     0.014263      2.79056  128.81361    0.00104    4
   3   24    5   0.854481     1.426519    -0.025383      1.42675  128.89370    0.00027    4
   2   33    3   0.854293    -2.128888    -0.021971        2.129  128.94648    0.00061    4
   4   21   -6   0.854243    -3.493434    -0.031903      3.49358  128.96026    0.00163    4
   3   27   -6   0.854127    -4.337405    -0.051864      4.33772  128.99302    0.00252    4
   0   38    0   0.853947     5.235136     0.056542      5.23544  129.04355    0.00184    2
   4    2   -9   0.853904     6.587963     0.072521      6.58836  129.05579    0.00582    4
   4   14    5   0.853791     2.834146     0.001347      2.83415  129.08748    0.00108    4
   2   11    9   0.853788    -1.803351    -0.023531       1.8035  129.08835    0.00044    4
   3    8  -10   0.853603    -1.081260    -0.021437      1.08147  129.14074    0.00016    4
   1    6  -11   0.853437    -1.021146    -0.048486       1.0223  129.18765    0.00014    4
   5   10    2   0.853376     4.048976     0.038077      4.04915  129.20468    0.00220    4
   0   26    8   0.853325    -2.493243     0.006032      2.49325  129.21923    0.00084    4
   3   32   -1   0.853236     2.569822     0.012618      2.56985  129.24433    0.00089    4
   5   16   -3   0.853115     0.180483    -0.010219     0.180772  129.27866    0.00000    4
   2   28   -7   0.853083    -2.940429    -0.038154      2.94068  129.28775    0.00117    4
   4   25    1   0.853074     0.952821    -0.009159     0.952865  129.29037    0.00012    4
   4   18   -7   0.852772     8.109605     0.033585      8.10967  129.37596    0.00888    4
   2   35    1   0.852730    -0.860198    -0.000495     0.860198  129.38792    0.00010    4
   1   37   -2   0.852656    -1.325836     0.002793      1.32584  129.40896    0.00024    4
   3   29   -5   0.852513    -2.209101    -0.025625      2.20925  129.44976    0.00066    4
   3    6    8   0.852478    -2.365857    -0.048664      2.36636  129.45970    0.00076    4
   4    3   -9   0.852430     8.965141     0.069903      8.96541  129.47345    0.01087    4
   2   15  -10   0.852196     3.514234     0.030867      3.51437  129.53991    0.00167    4
   5    1    3   0.852134    -0.346242    -0.005360     0.346283  129.55780    0.00002    4
   5    8   -6   0.852020    -4.379358    -0.035141       4.3795  129.59030    0.00260    4
   2   25   -8   0.851827     0.964043    -0.034334     0.964654  129.64559    0.00013    4
   4    6    6   0.851787    -1.639314    -0.029673      1.63958  129.65693    0.00037    4
   4   26    0   0.851744    -1.069638    -0.000046      1.06964  129.66930    0.00016    4
   5    2    3   0.851254    -3.488362    -0.040734       3.4886  129.80991    0.00166    4
   1   32   -6   0.851010   -12.421592    -0.085005      12.4219  129.88006    0.02107    4
   2   21   -9   0.850849     7.632663     0.051250      7.63283  129.92648    0.00796    4
   1   17  -10   0.850816     7.519076     0.059587      7.51931  129.93592    0.00773    4
   4   25   -4   0.850646    -0.833034    -0.018241     0.833234  129.98496    0.00010    4
   0   38    1   0.850411    -0.802926    -0.013104     0.803033  130.05278    0.00009    4
   4    4   -9   0.850378     0.618151    -0.001542     0.618153  130.06242    0.00005    4
   4   26   -3   0.850291    -1.132205     0.003146      1.13221  130.08752    0.00018    4
   3   32   -2   0.850225    -2.197793    -0.030637      2.19801  130.10689    0.00066    4
   0   34    5   0.850181    -1.624201    -0.014189      1.62426  130.11957    0.00036    4
   0    1   11   0.850134     5.103232    -0.041155       5.1034  130.13317    0.00358    4
   5   15   -4   0.850131    -2.343950    -0.012766      2.34398  130.13399    0.00075    4
   0   32    6   0.850075    -2.743718    -0.038477      2.74399  130.15021    0.00103    4
   5    3    3   0.849793    -0.510450    -0.020125     0.510847  130.23216    0.00004    4
   0   22    9   0.849643    -3.044295    -0.030867      3.04445  130.27569    0.00128    4
   1    7  -11   0.849625    -8.158681    -0.086521      8.15914  130.28094    0.00917    4
   1   11   10   0.849584     3.406065     0.071271      3.40681  130.29303    0.00160    4
   0   16   10   0.849461    -4.039639    -0.091415      4.04067  130.32873    0.00225    4
   2   27    6   0.849433     0.166841    -0.013990     0.167427  130.33696    0.00000    4
   0    2   11   0.849260    -3.321760     0.006522      3.32177  130.38741    0.00152    4
   3   32    0   0.849195    -0.656166    -0.012580     0.656287  130.40647    0.00006    4
   3   27    4   0.848945    -1.282803    -0.008306      1.28283  130.47960    0.00023    4
   2    1  -11   0.848846     0.392909     0.017634     0.393305  130.50853    0.00002    4
   1   19    9   0.848780   -12.118447    -0.100063      12.1189  130.52774    0.02035    4
   3    7    8   0.848679     3.345366     0.039681       3.3456  130.55737    0.00155    4
   3    9  -10   0.848626    -3.788301     0.005769      3.78831  130.57298    0.00199    4
   1   34   -5   0.848606   -14.274559    -0.115221       14.275  130.57882    0.02827    4
   3   16    7   0.848484    -4.063798    -0.021641      4.06386  130.61465    0.00229    4
   5   17   -2   0.848468     0.127410     0.006215     0.127562  130.61928    0.00000    4
   2   19    8   0.848455     2.769859     0.040628      2.77016  130.62319    0.00107    4
   5   14    1   0.848448    -0.145677     0.006053     0.145803  130.62511    0.00000    4
   3   29    3   0.848383    -1.790804     0.005225      1.79081  130.64442    0.00045    4
   1   24    8   0.848250     0.961809    -0.002391     0.961812  130.68355    0.00013    4
   4    7    6   0.847998     2.292856     0.042885      2.29326  130.75781    0.00073    4
   2    2  -11   0.847976    -2.807937    -0.008256      2.80795  130.76420    0.00110    4
   0    3   11   0.847810    22.072478     0.203191      22.0734  130.81330    0.06796    4
   4    5   -9   0.847762     1.831912     0.017371      1.83199  130.82725    0.00047    4
   5    4    3   0.847761    -1.720139    -0.015725      1.72021  130.82777    0.00041    4
   3   21    6   0.847691    -4.455871    -0.048918      4.45614  130.84837    0.00277    4
   4   14   -8   0.847506     9.726251     0.067438      9.72648  130.90292    0.01322    4
   5   13   -5   0.847448     2.402211     0.006240      2.40222  130.92023    0.00081    4
   4   19    4   0.847288     6.092166     0.047534      6.09235  130.96752    0.00520    4
   5   11    2   0.847246    -0.944367    -0.000349     0.944367  130.98005    0.00012    4
   3   17   -9   0.847119     1.840355     0.036838      1.84072  131.01788    0.00047    4
   2   12    9   0.847071     2.310287     0.006500       2.3103  131.03190    0.00075    4
   5    9   -6   0.847071    -5.913249    -0.024070       5.9133  131.03214    0.00490    4
   5   16    0   0.847028     0.919162    -0.005075     0.919176  131.04492    0.00012    4
   4   24    2   0.846793    -2.486207    -0.031579      2.48641  131.11464    0.00087    4
   2    3  -11   0.846532    -5.248066    -0.079883      5.24867  131.19252    0.00388    4
   5   17   -1   0.846458    -0.824295    -0.007120     0.824326  131.21469    0.00010    4
   3   25   -7   0.846365    -2.488462    -0.038303      2.48876  131.24226    0.00087    4
   4   22    3   0.846042     0.855108     0.030136     0.855639  131.33900    0.00010    4
   0    4   11   0.845791    -8.642108    -0.087789      8.64255  131.41419    0.01057    4
   2   34   -4   0.845354     0.733860     0.009130     0.733917  131.54575    0.00008    4
   4   15    5   0.845348     4.565157     0.029967      4.56526  131.54743    0.00296    4
   1    8  -11   0.845290     3.455457     0.073817      3.45625  131.56484    0.00170    4
   5    5    3   0.845169     1.688142     0.015655      1.68821  131.60153    0.00040    4
   1   23   -9   0.845031    -2.086162    -0.032884      2.08642  131.64314    0.00062    4
   2   35   -3   0.844783     4.807016     0.038819      4.80717  131.71810    0.00329    4
   4    6   -9   0.844598    -2.148016    -0.030311      2.14823  131.77420    0.00066    4
   2    4  -11   0.844523    -4.203777    -0.048000      4.20405  131.79693    0.00252    4
   3    8    8   0.844359    -2.339687    -0.033909      2.33993  131.84673    0.00078    4
   0   37    3   0.844269    -6.045566    -0.036895      6.04568  131.87394    0.00523    4
   1   30   -7   0.844124    -2.928797    -0.015380      2.92884  131.91795    0.00123    4
   1   36    3   0.843898    -0.864755    -0.019415     0.864973  131.98704    0.00011    4
   1   27   -8   0.843872     5.549427     0.037344      5.54955  131.99472    0.00442    4
   2   32    4   0.843701    -1.374035     0.008914      1.37406  132.04702    0.00027    4
   4    8    6   0.843687     0.062805     0.002270    0.0628457  132.05118    0.00000    4
   5   17   -3   0.843549     0.581850     0.011487     0.581963  132.09341    0.00005    4
   2   24    7   0.843486   -10.596412    -0.087438      10.5968  132.11266    0.01615    4
   4   24   -5   0.843474    -0.774667    -0.005936      0.77469  132.11632    0.00009    4
   2   30    5   0.843268    -1.430354    -0.014437      1.43043  132.17941    0.00029    4
   2   16  -10   0.843230     5.214162     0.065962      5.21458  132.19119    0.00392    4
   0    5   11   0.843217     9.207353     0.076511      9.20767  132.19503    0.01222    4
   3   10  -10   0.843165     1.610196    -0.021610      1.61034  132.21096    0.00037    4
   1   33    5   0.843114    -9.060538    -0.052491      9.06069  132.22669    0.01184    4
   1   12   10   0.842965    -1.175315    -0.010014      1.17536  132.27256    0.00020    4
   4   27   -1   0.842908    -2.133217    -0.025539      2.13337  132.28989    0.00066    4
   1   28    7   0.842826    -2.946368    -0.029095      2.94651  132.31517    0.00125    4
   1   37    2   0.842695    -2.289189    -0.015736      2.28924  132.35565    0.00076    4
   3   22   -8   0.842460     3.148556    -0.010555      3.14857  132.42802    0.00144    4
   4   27   -2   0.842438    -2.781984     0.000458      2.78198  132.43467    0.00112    4
   2   36   -1   0.842167     1.532290     0.005453       1.5323  132.51859    0.00034    4
   2   31   -6   0.842155    -2.464797    -0.032656      2.46501  132.52218    0.00088    4
   4   19   -7   0.842081    -3.212150    -0.012174      3.21217  132.54507    0.00150    4
   5    6    3   0.842033    -0.160859     0.005506     0.160953  132.56004    0.00000    4
   2    5  -11   0.841960     2.599064     0.037331      2.59933  132.58251    0.00098    4
   4   22   -6   0.841793     0.481722     0.011905     0.481869  132.63437    0.00003    4
   3   31   -4   0.841679    -0.968138    -0.006929     0.968163  132.66973    0.00014    4
   5   10   -6   0.841640   -11.506918    -0.072810      11.5071  132.68198    0.01931    4
   5   16   -4   0.841229    -0.014476    -0.010552    0.0179138  132.80993    0.00000    4
   0   36    4   0.841078     5.783474     0.059725      5.78378  132.85696    0.00490    4
   4    7   -9   0.840903    -0.548157    -0.013591     0.548325  132.91170    0.00004    4
   0   30    7   0.840771    -2.859839    -0.009383      2.85985  132.95289    0.00120    4
   1   18  -10   0.840761    -7.728875    -0.042205      7.72899  132.95600    0.00877    4
   2   36    0   0.840699     4.251063     0.056492      4.25144  132.97560    0.00265    4
   5   12    2   0.840681     0.810723     0.001305     0.810724  132.98113    0.00010    4
   1    9  -11   0.840457     5.328512     0.076489      5.32906  133.05154    0.00418    4
   3   32   -3   0.840379    -2.681455    -0.020359      2.68153  133.07592    0.00106    4
   3   25    5   0.840324    -3.086102    -0.024766       3.0862  133.09312    0.00140    4
   5   15    1   0.840161     0.848292    -0.005786     0.848312  133.14449    0.00011    4
   0    6   11   0.840103    -1.601288    -0.025497      1.60149  133.16271    0.00038    4
   0   38    2   0.840062     2.539245     0.011819      2.53927  133.17582    0.00095    4
   0   17   10   0.840016     2.667182    -0.009744       2.6672  133.19008    0.00105    4
   1   38    0   0.839967    -0.164993    -0.012010      0.16543  133.20561    0.00000    4
   2   13    9   0.839947     5.010903     0.077475       5.0115  133.21185    0.00371    4
   5   14   -5   0.839751    -0.337456    -0.018683     0.337973  133.27367    0.00002    4
   3    9    8   0.839541     3.875664     0.039456      3.87587  133.34021    0.00223    4
   1   31    6   0.839446     0.690001    -0.014250     0.690148  133.37017    0.00007    4
   4   15   -8   0.839246   -14.646334    -0.105849      14.6467  133.43356    0.03186    4
   3   17    7   0.839071    -4.559795    -0.049912      4.56007  133.48914    0.00309    4
   1   38   -1   0.839006    -2.176891    -0.025041      2.17703  133.50998    0.00071    4
   4    9    6   0.838881     2.477007     0.029173      2.47718  133.54965    0.00091    4
   2    6  -11   0.838860    -1.853449    -0.003397      1.85345  133.55633    0.00051    4
   3   31    2   0.838693    10.083576     0.067608      10.0838  133.60971    0.01516    4
   2   22   -9   0.838544    -6.098995    -0.042840      6.09915  133.65704    0.00555    4
   2   33   -5   0.838532    -5.908659    -0.070256      5.90908  133.66110    0.00521    4
   5   18   -2   0.838496    -0.248805    -0.008835     0.248962  133.67254    0.00001    4
   4   26    1   0.838426     3.691268     0.025336      3.69135  133.69480    0.00204    4
   3   32    1   0.838394    -2.399492    -0.006312       2.3995  133.70516    0.00086    4
   5    7    3   0.838372     1.170597     0.026543       1.1709  133.71218    0.00020    4
   3   28   -6   0.838305    -3.344121    -0.037407      3.34433  133.73364    0.00167    4
   0   27    8   0.838105    -0.053082     0.044975    0.0695733  133.79760    0.00000    4
   1   37   -3   0.837875     2.212033     0.026959       2.2122  133.87141    0.00073    4
   1   35    4   0.837733     2.825809     0.031397      2.82598  133.91705    0.00120    4
   1   20    9   0.837678     7.266772     0.048275      7.26693  133.93463    0.00794    4
   5   17    0   0.837663    -1.626525    -0.004591      1.62653  133.93956    0.00040    4
   5    1   -7   0.837601     0.096290     0.006655      0.09652  133.95962    0.00000    4
   2   35    2   0.837452     1.604067     0.036100      1.60447  134.00759    0.00039    4
   2   20    8   0.837365    -2.553715    -0.018090      2.55378  134.03539    0.00098    4
   3   11  -10   0.837251    -8.216120    -0.081793      8.21653  134.07234    0.01018    4
   2   26   -8   0.837242    -1.242000    -0.004101      1.24201  134.07529    0.00023    4
   3   18   -9   0.837193     3.733717     0.056166      3.73414  134.09105    0.00210    4
   1   36   -4   0.837144    -9.788530    -0.075068      9.78882  134.10686    0.01447    4
   2   36   -2   0.836864   -10.931942    -0.049882      10.9321  134.19769    0.01809    4
   0   23    9   0.836833     0.541256     0.033317     0.542281  134.20756    0.00004    4
   5    2   -7   0.836765     1.683876     0.009677       1.6839  134.22976    0.00043    4
   2   29   -7   0.836761    -2.221845    -0.007125      2.22186  134.23109    0.00075    4
   4    8   -9   0.836700    -0.442225     0.006910     0.442279  134.25090    0.00003    4
   4   27    0   0.836607    -3.713210    -0.027974      3.71332  134.28109    0.00209    4
   4   16    5   0.836594     4.397156     0.025645      4.39723  134.28525    0.00293    4
   5   18   -1   0.836555    -0.892703    -0.010425     0.892763  134.29785    0.00012    4
   0    7   11   0.836467    -3.290718    -0.070350      3.29147  134.32650    0.00164    4
   4   20    4   0.836244    -2.494388    -0.030139      2.49457  134.39911    0.00095    4
   4   26   -4   0.836121    -0.886395    -0.013246     0.886493  134.43925    0.00012    4
   1   13   10   0.835943    -1.623339    -0.019886      1.62346  134.49740    0.00040    4
   5   11   -6   0.835757   -13.505559    -0.099641      13.5059  134.55810    0.02786    4
   3   30   -5   0.835668    -1.121028    -0.035427      1.12159  134.58748    0.00019    4
   3   22    6   0.835521     1.618412     0.019514      1.61853  134.63562    0.00040    4
   5    3   -7   0.835377    -0.113890    -0.007234      0.11412  134.68279    0.00000    4
   2    7  -11   0.835240    -0.672793     0.049014     0.674576  134.72793    0.00007    4
   4   27   -3   0.835230    -0.897718    -0.004350     0.897729  134.73111    0.00012    4
   1   10  -11   0.835151     0.123027    -0.008007     0.123287  134.75705    0.00000    4
   2   34    3   0.835122     1.414683    -0.011882      1.41473  134.76659    0.00031    4
   3   33   -1   0.834687     1.831425     0.017501      1.83151  134.91016    0.00052    4
   1   25    8   0.834396    -0.398179     0.003586     0.398195  135.00669    0.00002    4
   3   10    8   0.834253    -0.756573     0.016073     0.756744  135.05418    0.00009    4
   1   38    1   0.834217    -1.556389    -0.028214      1.55664  135.06597    0.00037    4
   5    8    3   0.834206     0.583020     0.004501     0.583037  135.06977    0.00005    4
   2   17  -10   0.833989     1.645673     0.017264      1.64576  135.14186    0.00042    4
   2   28    6   0.833865    -1.183426    -0.025084      1.18369  135.18308    0.00022    4
   5   18   -3   0.833747     0.881997     0.003692     0.882005  135.22250    0.00012    4
   5   13    2   0.833716    -1.587871    -0.006669      1.58788  135.23297    0.00039    4
   4   10    6   0.833605     2.267547     0.037399      2.26786  135.26984    0.00080    4
   5    4   -7   0.833446     1.077132     0.016292      1.07726  135.32305    0.00018    4
   3   28    4   0.833403    -0.038686     0.000842    0.0386953  135.33739    0.00000    4
   4   23    3   0.833392    -2.190519    -0.030797      2.19074  135.34131    0.00075    4
   4   25    2   0.833010     2.487000     0.031697       2.4872  135.46943    0.00097    4
   1   33   -6   0.832603     9.012236     0.063480      9.01246  135.60642    0.01274    4
   2   36    1   0.832564     1.259758     0.009653      1.25979  135.61933    0.00025    4
   2   14    9   0.832452     3.670109     0.047746      3.67042  135.65746    0.00212    4
   0    8   11   0.832329     6.126334     0.082961       6.1269  135.69875    0.00590    4
   3   26   -7   0.832055    -0.798546    -0.018016     0.798749  135.79176    0.00010    4
   5   17   -4   0.832053    -1.988022    -0.021190      1.98814  135.79232    0.00062    4
   4    9   -9   0.832011     2.577935     0.026788      2.57807  135.80656    0.00105    4
   1   24   -9   0.831878    -8.470132    -0.082677      8.47054  135.85177    0.01133    4
   3   33   -2   0.831867     0.477172     0.002173     0.477177  135.85538    0.00004    4
   3   30    3   0.831777     0.444929     0.004932     0.444957  135.88620    0.00003    4
   0   33    6   0.831727     1.952196     0.016279      1.95226  135.90296    0.00060    4
   5   15   -5   0.831714    -2.532769    -0.016575      2.53282  135.90751    0.00101    4
   5   16    1   0.831565     1.047679    -0.001700      1.04768  135.95811    0.00017    4
   1   38   -2   0.831402     1.912996     0.027801       1.9132  136.01383    0.00058    4
   4   20   -7   0.831237     1.484626     0.007465      1.48465  136.07026    0.00035    4
   2    8  -11   0.831120    -2.074062     0.033639      2.07433  136.11002    0.00068    4
   5    5   -7   0.830983     0.953509     0.013967     0.953611  136.15704    0.00014    4
   3   12  -10   0.830914     7.011092     0.045108      7.01124  136.18071    0.00783    4
   3   33    0   0.830903     0.969210     0.007640      0.96924  136.18463    0.00015    4
   0   35    5   0.830735    -2.487284    -0.040762      2.48762  136.24209    0.00099    4
   4   16   -8   0.830678     6.971730     0.037663      6.97183  136.26162    0.00776    4
   1   19  -10   0.830511    11.084056     0.089660      11.0844  136.31933    0.01963    4
   0   18   10   0.830336    -2.718523    -0.026325      2.71865  136.37966    0.00118    4
   3   23   -8   0.829967     1.917122     0.007989      1.91714  136.50688    0.00059    4
   2   25    7   0.829861     3.091345     0.013935      3.09138  136.54370    0.00154    4
   4   25   -5   0.829850    -0.262732     0.011498     0.262984  136.54764    0.00001    4
   5    9    3   0.829559    -1.874941    -0.013302      1.87499  136.64850    0.00057    4
   5   12   -6   0.829454    -9.285732    -0.059020      9.28592  136.68501    0.01391    4
   3   18    7   0.829423    -5.249154    -0.045612      5.24935  136.69586    0.00445    4
   1   11  -11   0.829403     1.452846     0.032497      1.45321  136.70276    0.00034    4
   4   23   -6   0.829330    -0.671628    -0.004668     0.671644  136.72826    0.00007    4
   1   35   -5   0.829266    17.592758     0.111961      17.5931  136.75051    0.05002    4
   0   39    1   0.828779    -3.769540    -0.042160      3.76978  136.92049    0.00231    4
   1   28   -8   0.828603     1.141644     0.013078      1.14172  136.98232    0.00021    4
   1   14   10   0.828553    -2.068756    -0.029685      2.06897  136.99995    0.00070    4
   3   11    8   0.828523    -2.274936    -0.035860      2.27522  137.01052    0.00084    4
   5   19   -2   0.828327     1.414129     0.015550      1.41421  137.07951    0.00033    4
   5   18    0   0.828062     0.436211     0.000585     0.436211  137.17264    0.00003    4
   5    6   -7   0.828002    -0.070032    -0.000413    0.0700331  137.19388    0.00000    4
   4   11    6   0.827889    -9.077661    -0.089537       9.0781  137.23399    0.01349    4
   0    9   11   0.827714     1.043340     0.034617      1.04391  137.29591    0.00018    4
   4   28   -1   0.827690     5.694656     0.028023      5.69473  137.30410    0.00532    4
   4   17    5   0.827567    -0.680900    -0.020576     0.681211  137.34776    0.00008    4
   4   28   -2   0.827245     6.676786     0.042837      6.67692  137.46210    0.00734    4
   1   31   -7   0.827224     4.025598     0.027811      4.02569  137.46965    0.00267    4
   1   29    7   0.827075     1.307734     0.042908      1.30844  137.52287    0.00028    4
   3   19   -9   0.827071    -4.436640    -0.045041      4.43687  137.52434    0.00325    4
   4   10   -9   0.826863     0.569488     0.002376     0.569493  137.59841    0.00005    4
   2    9  -11   0.826525   -16.160884    -0.142372      16.1615  137.71958    0.04332    4
   1   21    9   0.826464    -7.708299    -0.050332      7.70846  137.74128    0.00986    4
   5   19   -1   0.826455    -1.341965    -0.013900      1.34204  137.74437    0.00030    4
   2   31    5   0.826418     0.598197    -0.000200     0.598197  137.75765    0.00006    4
   5   14    2   0.826384    -2.033149    -0.014851       2.0332  137.76996    0.00069    4
   3   26    5   0.826313     4.647662     0.029854      4.64776  137.79553    0.00359    4
   2   35   -4   0.826230    -2.459590    -0.036248      2.45986  137.82533    0.00101    4
   2   23   -9   0.826222    -0.495135    -0.038664     0.496642  137.82809    0.00004    4
   2   21    8   0.826164    -0.571656    -0.031608      0.57253  137.84921    0.00005    4
   2   33    4   0.825754    -3.089087    -0.014915      3.08912  137.99691    0.00159    4
   2   36   -3   0.825163    -2.299885    -0.022215      2.29999  138.21128    0.00089    4
   4   21    4   0.825087     4.118581     0.033136      4.11871  138.23912    0.00285    4
   2   32   -6   0.824837     2.734184     0.030986      2.73436  138.33002    0.00126    4
   1   34    5   0.824671     0.548450    -0.020084     0.548817  138.39081    0.00005    4
   2   15    9   0.824620    -1.373174    -0.024334      1.37339  138.40946    0.00032    4
   5    7   -7   0.824520     1.406605     0.015717      1.40669  138.44601    0.00033    4
   2   18  -10   0.824513    -1.601094    -0.007614      1.60111  138.44864    0.00043    4
   5   10    3   0.824456     0.813618     0.007166     0.813649  138.46944    0.00011    4
   3   32   -4   0.824390     4.500912     0.008669      4.50092  138.49366    0.00343    4
   3   13  -10   0.824187    -3.839583    -0.018990      3.83963  138.56837    0.00250    4
   0   31    7   0.824068    11.981254     0.068774      11.9815  138.61207    0.02440    4
   0   24    9   0.824054     1.773734     0.039475      1.77417  138.61731    0.00054    4
   4   27    1   0.823976     2.719332    -0.003083      2.71933  138.64589    0.00126    4
   1   37    3   0.823806    -1.771624    -0.027088      1.77183  138.70842    0.00053    4
   5   19   -3   0.823748    -3.008593    -0.030265      3.00875  138.73013    0.00154    4
   0   38    3   0.823621    -2.094200    -0.022665      2.09432  138.77697    0.00075    4
   5   16   -5   0.823372     1.618381     0.010896      1.61842  138.86909    0.00045    4
   3   23    6   0.823330    -0.227865    -0.000116     0.227865  138.88482    0.00001    4
   1   12  -11   0.823241    -6.674165    -0.075619      6.67459  138.91775    0.00764    4
   0   28    8   0.823141    -7.869903    -0.033999      7.86998  138.95499    0.01063    4
   2   27   -8   0.822852     2.141368     0.031516       2.1416  139.06266    0.00079    4
   3   29   -6   0.822801    -3.079089    -0.028027      3.07922  139.08179    0.00163    4
   5   13   -6   0.822762    -6.711535    -0.047571       6.7117  139.09637    0.00776    4
   5   17    1   0.822699    -2.104706    -0.029268      2.10491  139.11986    0.00076    4
   0   10   11   0.822644    -5.764619    -0.043390      5.76478  139.14017    0.00573    4
   5   18   -4   0.822642     6.515076     0.047010      6.51525  139.14113    0.00732    4
   3   33   -3   0.822639    -4.435664    -0.018685       4.4357  139.14219    0.00339    4
   3   12    8   0.822380    -0.074409    -0.022937    0.0778638  139.23903    0.00000    4
   1   32    6   0.822292     6.729716     0.051590      6.72991  139.27241    0.00784    4
   2   37   -1   0.822196     9.508196     0.059568      9.50838  139.30823    0.01567    4
   1   38    2   0.822159    -3.469701    -0.026769       3.4698  139.32217    0.00209    4
   4   17   -8   0.821840    -2.445973     0.003533      2.44598  139.44241    0.00104    4
   4   27   -4   0.821788    -0.038287     0.012251     0.040199  139.46211    0.00000    4
   4   12    6   0.821760    -6.500592    -0.049821      6.50078  139.47248    0.00736    4
   4   28    0   0.821721    -5.977482    -0.052223      5.97771  139.48714    0.00622    4
   3   32    2   0.821583     5.675891     0.044869      5.67607  139.53948    0.00562    4
   2   10  -11   0.821477   -10.434117    -0.075787      10.4344  139.57958    0.01901    4
   4   11   -9   0.821283    -1.154990    -0.001335      1.15499  139.65325    0.00023    4
   0   37    4   0.821183     2.120977     0.040415      2.12136  139.69119    0.00079    4
   2   37    0   0.820830     1.137671    -0.001331      1.13767  139.82570    0.00023    4
   1   15   10   0.820830    -3.935533    -0.079411      3.93633  139.82581    0.00272    4
   2   30   -7   0.820815    -0.049418     0.016433    0.0520781  139.83144    0.00000    4
   3   33    1   0.820776    -7.374630    -0.073013      7.37499  139.84618    0.00957    4
   4   24    3   0.820767    -3.265306    -0.032426      3.26547  139.84988    0.00188    4
   1   26    8   0.820674     4.739556     0.063321      4.73998  139.88524    0.00396    4
   5    8   -7   0.820556    -0.538616    -0.016360     0.538865  139.93033    0.00005    4
   0   19   10   0.820457     3.532068     0.016114       3.5321  139.96847    0.00220    4
   4   28   -3   0.820417    -0.234083    -0.006442     0.234171  139.98371    0.00001    4
   2   34   -5   0.820381    -1.122936    -0.004480      1.12294  139.99760    0.00022    4
   4   21   -7   0.820276     1.122243     0.007639      1.12227  140.03792    0.00022    4
   1   20  -10   0.820101    -7.044116    -0.047585      7.04428  140.10502    0.00879    4
   3   19    7   0.819576    -3.189894    -0.001288      3.18989  140.30783    0.00181    4
   4   26    2   0.819355    -0.790467    -0.013190     0.790577  140.39364    0.00011    4
   3   31   -5   0.819261    -1.802405    -0.010632      1.80244  140.43037    0.00058    4
   0   39    2   0.819191     3.249761     0.028760      3.24989  140.45753    0.00189    4
   2    0   10   0.819124   -15.041381    -0.188501      15.0426  140.48334    0.02027    2
   1   39    0   0.819103     6.177124     0.035454      6.17723  140.49167    0.00684    4
   5   11    3   0.818924    -1.394374    -0.007926       1.3944  140.56141    0.00035    4
   2    1   10   0.818864    -0.752602    -0.007646     0.752641  140.58509    0.00010    4
   1   25   -9   0.818799    -1.166751     0.014916      1.16685  140.61040    0.00024    4
   5   15    2   0.818721     0.077548    -0.001588    0.0775645  140.64085    0.00000    4
   2   29    6   0.818602    -0.946678    -0.023250     0.946963  140.68743    0.00016    4
   1   36    4   0.818589     3.601924     0.031377      3.60206  140.69249    0.00234    4
